,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
91,j10,10,2,1,"[0, 5, 5, 1, 2, 5, 5, 7, 6, 3, 5, 0]",60,0.0,38.0,0.021,Optimal
92,j10,10,2,2,"[0, 4, 5, 1, 5, 5, 5, 2, 2, 1, 7, 0]",60,0.0,34.0,0.023,Optimal
93,j10,10,2,3,"[0, 6, 2, 2, 6, 9, 2, 2, 1, 5, 2, 0]",60,0.0,28.0,0.008,Optimal
94,j10,10,2,4,"[0, 1, 1, 2, 4, 13, 2, 1, 8, 4, 7, 0]",60,0.0,39.0,0.017,Optimal
95,j10,10,2,5,"[0, 6, 2, 2, 4, 7, 1, 2, 11, 5, 1, 0]",60,0.0,32.0,0.008,Optimal
96,j10,10,2,6,"[0, 6, 4, 2, 3, 3, 5, 2, 3, 3, 2, 0]",60,0.0,28.0,0.023,Optimal
97,j10,10,2,7,"[0, 1, 2, 2, 7, 10, 5, 4, 6, 2, 4, 0]",60,0.0,37.0,0.024,Optimal
98,j10,10,2,8,"[0, 7, 1, 1, 3, 13, 2, 4, 11, 1, 1, 0]",60,0.0,36.0,0.007,Optimal
99,j10,10,2,9,"[0, 8, 2, 2, 6, 6, 1, 1, 7, 5, 6, 0]",60,0.0,37.0,0.023,Optimal
100,j10,11,2,0,"[0, 7, 1, 1, 6, 1, 1, 2, 5, 5, 9, 0]",60,0.0,24.0,0.006,Optimal
101,j10,11,2,1,"[0, 11, 3, 5, 6, 3, 1, 3, 5, 2, 4, 0]",60,0.0,33.0,0.006,Optimal
102,j10,11,2,2,"[0, 9, 3, 1, 7, 2, 2, 8, 8, 2, 4, 0]",60,0.0,41.0,0.015,Optimal
103,j10,11,2,3,"[0, 2, 1, 2, 9, 1, 2, 4, 8, 3, 12, 0]",60,0.0,28.0,0.008,Optimal
104,j10,11,2,4,"[0, 10, 3, 4, 7, 2, 2, 4, 5, 1, 4, 0]",60,0.0,35.0,0.007,Optimal
105,j10,11,2,5,"[0, 12, 1, 1, 4, 2, 3, 1, 5, 2, 5, 0]",60,0.0,36.0,0.007,Optimal
106,j10,11,2,6,"[0, 9, 3, 2, 9, 3, 2, 4, 8, 5, 14, 0]",60,0.0,40.0,0.008,Optimal
107,j10,11,2,7,"[0, 7, 2, 4, 7, 1, 1, 3, 3, 2, 10, 0]",60,0.0,25.0,0.007,Optimal
108,j10,11,2,8,"[0, 5, 1, 3, 1, 1, 2, 2, 6, 4, 3, 0]",60,0.0,20.0,0.006,Optimal
109,j10,11,2,9,"[0, 10, 2, 6, 7, 1, 2, 7, 3, 5, 14, 0]",60,0.0,40.0,0.009,Optimal
110,j10,12,2,0,"[0, 6, 1, 9, 6, 1, 2, 2, 1, 8, 9, 0]",60,,,0.003,Infeasible
111,j10,12,2,1,"[0, 10, 3, 5, 6, 3, 6, 11, 1, 6, 5, 0]",60,,,0.003,Infeasible
112,j10,12,2,2,"[0, 5, 2, 2, 8, 7, 2, 7, 2, 2, 12, 0]",60,,,0.003,Infeasible
113,j10,12,2,3,"[0, 8, 2, 7, 2, 1, 3, 9, 1, 6, 6, 0]",60,,,0.003,Infeasible
114,j10,12,2,4,"[0, 11, 2, 9, 8, 4, 8, 6, 2, 2, 6, 0]",60,,,0.002,Infeasible
115,j10,12,2,5,"[0, 5, 1, 2, 5, 1, 5, 10, 1, 8, 3, 0]",60,0.0,31.0,0.006,Optimal
116,j10,12,2,6,"[0, 5, 2, 3, 8, 3, 11, 9, 1, 2, 6, 0]",60,,,0.003,Infeasible
117,j10,12,2,7,"[0, 8, 3, 8, 5, 4, 7, 10, 2, 7, 11, 0]",60,,,0.003,Infeasible
118,j10,12,2,8,"[0, 1, 3, 11, 8, 2, 9, 4, 1, 3, 3, 0]",60,0.0,32.0,0.007,Optimal
119,j10,12,2,9,"[0, 9, 2, 2, 4, 1, 10, 7, 1, 6, 9, 0]",60,,,0.003,Infeasible
120,j10,13,2,0,"[0, 4, 9, 12, 4, 2, 3, 3, 4, 15, 2, 0]",60,0.0,39.0,0.006,Optimal
121,j10,13,2,1,"[0, 5, 7, 12, 3, 1, 8, 5, 7, 14, 1, 0]",60,0.0,38.0,0.007,Optimal
122,j10,13,2,2,"[0, 3, 3, 7, 8, 2, 12, 4, 10, 3, 1, 0]",60,0.0,34.0,0.007,Optimal
123,j10,13,2,3,"[0, 2, 10, 10, 8, 2, 9, 12, 4, 3, 1, 0]",60,0.0,36.0,0.007,Optimal
124,j10,13,2,4,"[0, 2, 9, 11, 6, 2, 13, 12, 11, 10, 2, 0]",60,0.0,43.0,0.007,Optimal
125,j10,13,2,5,"[0, 2, 10, 6, 5, 1, 4, 14, 15, 13, 1, 0]",60,0.0,47.0,0.008,Optimal
126,j10,13,2,6,"[0, 1, 4, 12, 3, 2, 3, 7, 12, 5, 2, 0]",60,0.0,37.0,0.008,Optimal
127,j10,13,2,7,"[0, 3, 10, 11, 7, 2, 6, 10, 10, 7, 2, 0]",60,0.0,40.0,0.007,Optimal
128,j10,13,2,8,"[0, 2, 4, 9, 1, 1, 5, 13, 10, 10, 2, 0]",60,0.0,37.0,0.007,Optimal
129,j10,13,2,9,"[0, 4, 11, 3, 1, 2, 10, 4, 4, 6, 1, 0]",60,0.0,35.0,0.007,Optimal
130,j10,14,2,0,"[0, 4, 11, 8, 2, 6, 2, 1, 4, 10, 6, 0]",60,,,0.003,Infeasible
131,j10,14,2,1,"[0, 5, 9, 2, 1, 5, 7, 3, 7, 14, 5, 0]",60,,,0.003,Infeasible
132,j10,14,2,2,"[0, 3, 5, 5, 2, 8, 11, 2, 10, 3, 7, 0]",60,,,0.003,Infeasible
133,j10,14,2,3,"[0, 2, 12, 8, 2, 7, 11, 2, 3, 4, 1, 0]",60,0.0,31.0,0.006,Optimal
134,j10,14,2,4,"[0, 1, 6, 8, 1, 9, 9, 4, 9, 8, 2, 0]",60,0.0,31.0,0.006,Optimal
135,j10,14,2,5,"[0, 2, 6, 5, 1, 2, 12, 5, 3, 6, 2, 0]",60,0.0,31.0,0.006,Optimal
136,j10,14,2,6,"[0, 3, 3, 5, 2, 3, 9, 8, 13, 12, 1, 0]",60,,,0.003,Infeasible
137,j10,14,2,7,"[0, 2, 6, 8, 1, 8, 6, 4, 8, 12, 4, 0]",60,0.0,31.0,0.006,Optimal
138,j10,14,2,8,"[0, 1, 3, 3, 1, 8, 9, 2, 10, 6, 5, 0]",60,0.0,32.0,0.006,Optimal
139,j10,14,2,9,"[0, 3, 3, 1, 2, 8, 3, 2, 6, 3, 1, 0]",60,,,0.003,Infeasible
140,j10,15,2,0,"[0, 6, 14, 9, 12, 14, 6, 1, 3, 4, 15, 0]",60,0.0,48.0,0.023,Optimal
141,j10,15,2,1,"[0, 8, 9, 3, 7, 8, 3, 5, 14, 13, 15, 0]",60,0.0,44.0,0.021,Optimal
142,j10,15,2,2,"[0, 6, 5, 5, 10, 10, 2, 2, 10, 3, 9, 0]",60,0.0,31.0,0.008,Optimal
143,j10,15,2,3,"[0, 6, 12, 8, 9, 12, 2, 1, 4, 11, 11, 0]",60,0.0,44.0,0.035,Optimal
144,j10,15,2,4,"[0, 6, 6, 9, 10, 6, 7, 2, 12, 6, 7, 0]",60,0.0,39.0,0.037,Optimal
145,j10,15,2,5,"[0, 1, 4, 5, 3, 6, 2, 3, 3, 7, 12, 0]",60,0.0,32.0,0.016,Optimal
146,j10,15,2,6,"[0, 8, 5, 8, 10, 13, 2, 1, 9, 12, 6, 0]",60,0.0,36.0,0.006,Optimal
147,j10,15,2,7,"[0, 8, 10, 5, 14, 8, 2, 4, 9, 11, 3, 0]",60,0.0,38.0,0.009,Optimal
148,j10,15,2,8,"[0, 3, 13, 8, 10, 12, 8, 4, 13, 3, 11, 0]",60,0.0,44.0,0.014,Optimal
149,j10,15,2,9,"[0, 8, 10, 2, 4, 6, 1, 1, 9, 7, 8, 0]",60,0.0,34.0,0.031,Optimal
150,j10,16,2,0,"[0, 6, 1, 9, 2, 6, 8, 3, 1, 2, 1, 0]",60,0.0,27.0,0.008,Optimal
151,j10,16,2,1,"[0, 8, 2, 7, 2, 3, 5, 8, 3, 5, 1, 0]",60,0.0,28.0,0.007,Optimal
152,j10,16,2,2,"[0, 11, 1, 3, 1, 8, 8, 12, 2, 1, 3, 0]",60,0.0,36.0,0.028,Optimal
153,j10,16,2,3,"[0, 10, 2, 8, 2, 7, 2, 4, 1, 5, 2, 0]",60,0.0,25.0,0.006,Optimal
154,j10,16,2,4,"[0, 9, 1, 4, 2, 9, 7, 10, 4, 2, 2, 0]",60,0.0,32.0,0.014,Optimal
155,j10,16,2,5,"[0, 4, 1, 9, 2, 5, 1, 6, 2, 3, 1, 0]",60,0.0,24.0,0.006,Optimal
156,j10,16,2,6,"[0, 5, 2, 3, 2, 8, 3, 12, 1, 2, 3, 0]",60,0.0,31.0,0.007,Optimal
157,j10,16,2,7,"[0, 8, 2, 5, 2, 6, 2, 6, 1, 1, 3, 0]",60,0.0,25.0,0.006,Optimal
158,j10,16,2,8,"[0, 11, 2, 8, 2, 1, 1, 10, 2, 2, 2, 0]",60,0.0,26.0,0.006,Optimal
159,j10,16,2,9,"[0, 4, 1, 9, 2, 7, 5, 8, 3, 5, 2, 0]",60,0.0,28.0,0.007,Optimal
160,j10,17,2,0,"[0, 7, 9, 8, 12, 2, 1, 3, 3, 5, 5, 0]",60,,,0.004,Infeasible
161,j10,17,2,1,"[0, 8, 3, 5, 8, 3, 5, 14, 12, 5, 3, 0]",60,,,0.003,Infeasible
162,j10,17,2,2,"[0, 6, 8, 8, 12, 2, 8, 3, 8, 2, 2, 0]",60,,,0.003,Infeasible
163,j10,17,2,3,"[0, 9, 7, 2, 4, 1, 2, 11, 10, 4, 3, 0]",60,,,0.003,Infeasible
164,j10,17,2,4,"[0, 11, 9, 7, 10, 3, 6, 4, 11, 4, 5, 0]",60,,,0.003,Infeasible
165,j10,17,2,5,"[0, 10, 2, 4, 13, 1, 1, 6, 11, 3, 1, 0]",60,,,0.003,Infeasible
166,j10,17,2,6,"[0, 6, 3, 8, 10, 3, 9, 9, 11, 4, 5, 0]",60,,,0.003,Infeasible
167,j10,17,2,7,"[0, 7, 4, 7, 11, 1, 3, 13, 9, 2, 4, 0]",60,,,0.003,Infeasible
168,j10,17,2,8,"[0, 12, 1, 1, 10, 2, 2, 6, 2, 1, 5, 0]",60,,,0.003,Infeasible
169,j10,17,2,9,"[0, 7, 7, 3, 14, 2, 8, 11, 6, 5, 5, 0]",60,,,0.003,Infeasible
170,j10,18,2,0,"[0, 6, 14, 5, 11, 11, 2, 1, 1, 2, 5, 0]",60,0.0,31.0,0.007,Optimal
171,j10,18,2,1,"[0, 8, 9, 2, 5, 6, 3, 3, 5, 2, 5, 0]",60,0.0,30.0,0.006,Optimal
172,j10,18,2,2,"[0, 11, 5, 5, 10, 9, 2, 2, 7, 1, 7, 0]",60,0.0,32.0,0.006,Optimal
173,j10,18,2,3,"[0, 10, 12, 2, 4, 2, 1, 2, 1, 1, 6, 0]",60,0.0,26.0,0.006,Optimal
174,j10,18,2,4,"[0, 4, 13, 2, 11, 9, 3, 2, 2, 2, 5, 0]",60,0.0,27.0,0.005,Optimal
175,j10,18,2,5,"[0, 9, 4, 4, 15, 12, 1, 1, 6, 2, 2, 0]",60,0.0,34.0,0.007,Optimal
176,j10,18,2,6,"[0, 3, 3, 5, 12, 4, 3, 2, 1, 1, 2, 0]",60,0.0,28.0,0.006,Optimal
177,j10,18,2,7,"[0, 4, 10, 5, 14, 7, 2, 4, 7, 1, 1, 0]",60,0.0,33.0,0.006,Optimal
178,j10,18,2,8,"[0, 3, 13, 2, 10, 5, 1, 3, 7, 1, 1, 0]",60,0.0,26.0,0.007,Optimal
179,j10,18,2,9,"[0, 9, 10, 2, 4, 5, 1, 1, 6, 2, 7, 0]",60,0.0,29.0,0.006,Optimal
180,j10,19,2,0,"[0, 6, 4, 5, 1, 2, 4, 7, 3, 1, 2, 0]",60,0.0,28.0,0.023,Optimal
181,j10,19,2,1,"[0, 8, 6, 5, 1, 2, 3, 6, 8, 3, 5, 0]",60,0.0,31.0,0.014,Optimal
182,j10,19,2,2,"[0, 3, 5, 2, 2, 1, 7, 11, 12, 2, 7, 0]",60,0.0,35.0,0.007,Optimal
183,j10,19,2,3,"[0, 2, 1, 5, 2, 1, 1, 5, 13, 2, 1, 0]",60,0.0,24.0,0.007,Optimal
184,j10,19,2,4,"[0, 8, 4, 7, 2, 2, 2, 5, 7, 1, 2, 0]",60,0.0,27.0,0.006,Optimal
185,j10,19,2,5,"[0, 5, 1, 6, 2, 2, 3, 2, 7, 2, 3, 0]",60,0.0,24.0,0.007,Optimal
186,j10,19,2,6,"[0, 8, 8, 3, 2, 1, 7, 11, 6, 3, 6, 0]",60,0.0,35.0,0.007,Optimal
187,j10,19,2,7,"[0, 5, 4, 6, 2, 4, 7, 10, 3, 3, 3, 0]",60,,,60.009,Unknown
188,j10,19,2,8,"[0, 8, 8, 2, 2, 4, 5, 12, 3, 1, 2, 0]",60,0.0,32.0,0.006,Optimal
189,j10,19,2,9,"[0, 2, 6, 4, 1, 1, 6, 8, 7, 2, 7, 0]",60,0.0,32.0,0.022,Optimal
190,j10,20,2,0,"[0, 8, 4, 1, 11, 8, 12, 14, 8, 1, 3, 0]",60,0.0,38.0,0.007,Optimal
191,j10,20,2,1,"[0, 4, 5, 2, 15, 7, 12, 5, 7, 6, 5, 0]",60,0.0,35.0,0.007,Optimal
192,j10,20,2,2,"[0, 7, 4, 1, 13, 5, 5, 7, 10, 8, 12, 0]",60,0.0,41.0,0.008,Optimal
193,j10,20,2,3,"[0, 4, 7, 1, 9, 6, 12, 12, 10, 7, 12, 0]",60,0.0,42.0,0.007,Optimal
194,j10,20,2,4,"[0, 4, 1, 1, 4, 1, 11, 6, 13, 9, 10, 0]",60,0.0,37.0,0.006,Optimal
195,j10,20,2,5,"[0, 6, 7, 2, 4, 2, 6, 7, 11, 2, 14, 0]",60,0.0,40.0,0.007,Optimal
196,j10,20,2,6,"[0, 15, 3, 1, 3, 6, 6, 12, 5, 1, 7, 0]",60,0.0,35.0,0.008,Optimal
197,j10,20,2,7,"[0, 12, 3, 3, 12, 1, 9, 12, 6, 8, 10, 0]",60,0.0,45.0,0.02,Optimal
198,j10,20,2,8,"[0, 7, 4, 2, 12, 4, 9, 11, 3, 3, 13, 0]",60,0.0,40.0,0.007,Optimal
199,j10,20,2,9,"[0, 10, 2, 1, 13, 7, 3, 11, 10, 8, 4, 0]",60,0.0,36.0,0.009,Optimal
200,j10,21,2,0,"[0, 6, 9, 8, 2, 4, 6, 3, 1, 2, 8, 0]",60,0.0,39.0,0.007,Optimal
201,j10,21,2,1,"[0, 7, 10, 3, 5, 3, 5, 14, 11, 5, 3, 0]",60,0.0,51.0,0.007,Optimal
202,j10,21,2,2,"[0, 5, 8, 8, 2, 2, 7, 3, 7, 2, 8, 0]",60,0.0,32.0,0.007,Optimal
203,j10,21,2,3,"[0, 7, 10, 2, 1, 5, 2, 11, 9, 4, 9, 0]",60,0.0,50.0,0.007,Optimal
204,j10,21,2,4,"[0, 8, 4, 7, 2, 2, 4, 7, 9, 2, 5, 0]",60,0.0,37.0,0.006,Optimal
205,j10,21,2,5,"[0, 1, 4, 2, 3, 1, 5, 12, 3, 3, 9, 0]",60,0.0,34.0,0.007,Optimal
