,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
126,j20,13,2,6,"[0, 9, 13, 6, 1, 1, 2, 3, 5, 12, 10, 3, 4, 3, 1, 8, 3, 13, 7, 1, 2, 0]",60,0.008,Optimal,0.0,53.0
127,j20,13,2,7,"[0, 3, 9, 8, 3, 1, 2, 3, 5, 9, 2, 7, 2, 4, 2, 6, 1, 13, 1, 8, 1, 0]",60,0.01,Optimal,0.0,50.0
128,j20,13,2,8,"[0, 10, 8, 9, 1, 2, 4, 2, 2, 7, 6, 7, 1, 10, 2, 3, 2, 8, 5, 6, 1, 0]",60,0.007,Optimal,0.0,53.0
129,j20,13,2,9,"[0, 6, 11, 3, 2, 2, 1, 3, 1, 15, 12, 4, 5, 4, 1, 1, 2, 14, 4, 6, 2, 0]",60,0.008,Optimal,0.0,50.0
130,j20,14,2,0,"[0, 6, 14, 9, 2, 4, 6, 1, 1, 2, 1, 10, 7, 10, 5, 5, 7, 7, 1, 5, 4, 0]",60,0.028,Optimal,0.0,52.0
131,j20,14,2,1,"[0, 11, 15, 3, 1, 8, 8, 2, 8, 3, 1, 9, 10, 10, 10, 7, 2, 3, 1, 2, 1, 0]",60,0.024,Optimal,0.0,51.0
132,j20,14,2,2,"[0, 9, 6, 11, 2, 1, 7, 8, 4, 3, 2, 4, 10, 4, 7, 9, 2, 12, 1, 1, 4, 0]",60,0.003,Infeasible,,
133,j20,14,2,3,"[0, 10, 5, 1, 1, 2, 8, 3, 8, 3, 2, 11, 7, 10, 6, 8, 7, 9, 2, 5, 4, 0]",60,0.003,Infeasible,,
134,j20,14,2,4,"[0, 6, 12, 4, 3, 1, 1, 3, 8, 2, 2, 6, 11, 1, 11, 8, 8, 3, 2, 4, 1, 0]",60,0.003,Infeasible,,
135,j20,14,2,5,"[0, 9, 9, 5, 2, 7, 3, 6, 8, 2, 1, 14, 5, 5, 10, 8, 6, 6, 2, 1, 5, 0]",60,0.06,Optimal,0.0,49.0
136,j20,14,2,6,"[0, 3, 3, 11, 1, 2, 8, 9, 5, 1, 1, 4, 10, 9, 5, 4, 2, 4, 1, 8, 3, 0]",60,0.024,Optimal,0.0,49.0
137,j20,14,2,7,"[0, 11, 9, 1, 2, 3, 7, 7, 3, 1, 1, 8, 2, 11, 7, 7, 1, 8, 2, 2, 3, 0]",60,0.024,Optimal,0.0,49.0
138,j20,14,2,8,"[0, 2, 8, 5, 3, 1, 8, 9, 6, 1, 2, 6, 10, 2, 7, 5, 4, 8, 2, 9, 4, 0]",60,0.003,Infeasible,,
139,j20,14,2,9,"[0, 9, 14, 10, 3, 8, 6, 6, 5, 2, 1, 8, 9, 2, 4, 9, 7, 9, 1, 4, 5, 0]",60,60.013,Unknown,,
140,j20,15,2,0,"[0, 6, 9, 2, 7, 1, 3, 4, 5, 10, 15, 9, 2, 3, 5, 8, 3, 7, 4, 1, 1, 0]",60,0.013,Optimal,0.0,90.0
141,j20,15,2,1,"[0, 5, 3, 5, 9, 2, 4, 10, 7, 3, 9, 12, 2, 8, 7, 12, 2, 3, 5, 2, 1, 0]",60,0.031,Optimal,0.0,99.0
142,j20,15,2,2,"[0, 1, 4, 3, 11, 1, 10, 6, 7, 8, 4, 12, 1, 9, 2, 14, 1, 13, 5, 1, 2, 0]",60,0.023,Optimal,0.0,100.0
143,j20,15,2,3,"[0, 4, 10, 3, 2, 5, 12, 5, 8, 10, 13, 12, 1, 7, 4, 10, 3, 10, 6, 1, 2, 0]",60,0.013,Optimal,0.0,97.0
144,j20,15,2,4,"[0, 6, 10, 4, 8, 1, 3, 5, 3, 10, 10, 12, 1, 11, 1, 11, 2, 4, 6, 1, 1, 0]",60,0.03,Optimal,0.0,95.0
145,j20,15,2,5,"[0, 6, 7, 5, 7, 3, 15, 14, 6, 14, 10, 11, 1, 5, 5, 10, 2, 7, 2, 1, 1, 0]",60,0.057,Optimal,0.0,101.0
146,j20,15,2,6,"[0, 3, 1, 3, 9, 5, 4, 10, 2, 11, 13, 15, 1, 1, 2, 15, 2, 11, 3, 2, 1, 0]",60,0.028,Optimal,0.0,102.0
147,j20,15,2,7,"[0, 5, 8, 3, 12, 1, 12, 5, 7, 9, 5, 10, 1, 7, 6, 4, 3, 7, 7, 1, 1, 0]",60,0.009,Optimal,0.0,89.0
148,j20,15,2,8,"[0, 6, 2, 3, 3, 5, 13, 3, 8, 11, 12, 8, 1, 10, 4, 12, 2, 7, 5, 3, 2, 0]",60,0.021,Optimal,0.0,97.0
149,j20,15,2,9,"[0, 1, 9, 4, 11, 3, 10, 8, 6, 7, 8, 11, 2, 9, 2, 4, 2, 11, 7, 2, 2, 0]",60,0.01,Optimal,0.0,88.0
150,j20,16,2,0,"[0, 6, 14, 11, 2, 4, 8, 3, 2, 2, 5, 5, 3, 2, 1, 1, 6, 3, 5, 2, 12, 0]",60,0.008,Optimal,0.0,48.0
151,j20,16,2,1,"[0, 3, 7, 10, 2, 2, 10, 3, 8, 2, 2, 2, 2, 1, 1, 2, 9, 1, 6, 2, 12, 0]",60,0.008,Optimal,0.0,43.0
152,j20,16,2,2,"[0, 9, 10, 6, 2, 2, 6, 7, 10, 2, 4, 5, 3, 5, 1, 2, 4, 2, 3, 2, 2, 0]",60,0.008,Optimal,0.0,50.0
153,j20,16,2,3,"[0, 5, 12, 5, 3, 2, 11, 9, 11, 4, 7, 5, 2, 2, 2, 1, 9, 1, 3, 1, 9, 0]",60,0.01,Optimal,0.0,48.0
154,j20,16,2,4,"[0, 8, 12, 10, 4, 5, 13, 3, 10, 2, 2, 4, 1, 1, 2, 2, 7, 1, 6, 1, 4, 0]",60,0.009,Optimal,0.0,53.0
155,j20,16,2,5,"[0, 6, 14, 10, 1, 4, 15, 14, 6, 5, 6, 5, 2, 1, 1, 1, 1, 2, 3, 2, 3, 0]",60,0.009,Optimal,0.0,58.0
156,j20,16,2,6,"[0, 8, 12, 11, 3, 5, 7, 3, 3, 5, 2, 1, 3, 4, 2, 1, 8, 3, 3, 1, 2, 0]",60,0.009,Optimal,0.0,45.0
157,j20,16,2,7,"[0, 3, 9, 9, 3, 1, 9, 8, 3, 3, 5, 1, 3, 6, 2, 2, 3, 2, 6, 1, 12, 0]",60,0.009,Optimal,0.0,46.0
158,j20,16,2,8,"[0, 1, 10, 11, 2, 6, 10, 3, 11, 4, 2, 2, 3, 6, 1, 1, 7, 2, 1, 2, 10, 0]",60,0.008,Optimal,0.0,43.0
159,j20,16,2,9,"[0, 3, 10, 8, 5, 6, 11, 8, 10, 4, 2, 2, 2, 1, 1, 2, 8, 1, 5, 1, 5, 0]",60,0.01,Optimal,0.0,49.0
160,j20,17,2,0,"[0, 6, 2, 5, 1, 2, 6, 1, 1, 3, 1, 6, 5, 7, 2, 4, 1, 1, 6, 3, 6, 0]",60,0.007,Optimal,0.0,41.0
161,j20,17,2,1,"[0, 11, 1, 6, 7, 3, 5, 2, 2, 9, 1, 1, 7, 6, 2, 11, 2, 1, 2, 2, 2, 0]",60,0.032,Optimal,0.0,51.0
162,j20,17,2,2,"[0, 2, 1, 1, 6, 4, 11, 2, 1, 9, 2, 7, 6, 2, 2, 5, 1, 1, 2, 1, 12, 0]",60,0.027,Optimal,0.0,47.0
163,j20,17,2,3,"[0, 5, 1, 6, 4, 2, 3, 1, 1, 11, 2, 3, 3, 2, 1, 8, 2, 2, 7, 2, 6, 0]",60,0.022,Optimal,0.0,48.0
164,j20,17,2,4,"[0, 6, 2, 4, 7, 1, 1, 3, 1, 9, 2, 2, 4, 5, 3, 2, 1, 2, 2, 2, 5, 0]",60,0.007,Optimal,0.0,41.0
165,j20,17,2,5,"[0, 1, 1, 6, 6, 7, 5, 3, 1, 7, 2, 6, 1, 4, 5, 6, 3, 1, 6, 1, 11, 0]",60,0.009,Optimal,0.0,48.0
166,j20,17,2,6,"[0, 1, 1, 3, 1, 6, 11, 5, 2, 9, 2, 1, 3, 5, 5, 2, 1, 2, 7, 1, 11, 0]",60,0.007,Optimal,0.0,45.0
